baseline,data,individuo,n_dados_treinamento,dados_treinamento,dados_validacao,modelo_treinado,acc,loss,parametros
True,1644076302.4001417,21,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.7239583432674408,0.7169589400291443,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076316.6958916,29,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.890625,0.21411017328500748,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076321.6743104,29,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.8854166716337204,0.4086972139775753,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076329.6042855,29,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.9322916716337204,0.1345284879207611,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076334.80969,32,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.9479166716337204,0.14750820398330688,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076340.6160476,32,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.984375,0.07848854269832373,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076345.678925,32,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.9322916716337204,0.16838892735540867,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076357.0785522,35,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.734375,0.5611082091927528,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076361.3333938,35,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.8854166716337204,0.36779914051294327,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076365.8454874,35,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.8541666716337204,0.38999875634908676,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076375.021952,42,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.734375,0.5969986692070961,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076377.9421635,42,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.796875,0.5579230636358261,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076380.568663,42,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.7395833432674408,0.5783780664205551,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076388.4186587,49,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.78125,0.5672292783856392,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076391.8830671,49,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.8229166716337204,0.5458856783807278,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076395.0214348,49,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.7760416716337204,0.5679692029953003,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076402.7611556,51,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.8541666716337204,0.4671365022659302,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
